ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o,stvT,I,H,Prior,cut_mod
163,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,1,0.5
164,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,2,0.5
165,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,3,0.5
166,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,4,0.5
167,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,5,0.5
168,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,0,6,0.5
169,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,1,0.5
170,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,2,0.5
171,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,3,0.5
172,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,4,0.5
173,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,5,0.5
174,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,1,6,0.5
175,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,1,0.5
176,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,2,0.5
177,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,3,0.5
178,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,4,0.5
179,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,5,0.5
180,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.5,0,0,6,0.5
181,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,1,0.5
